,Provincia,code,name,date,description
01,Araba/Álava,ES01001,Alegría-Dulantzi,,
01,Araba/Álava,ES01001,Alegría-Dulantzi,,
01,Araba/Álava,ES01002,Amurrio,,
01,Araba/Álava,ES01002,Amurrio,,
01,Araba/Álava,ES01003,Aramaio,,
01,Araba/Álava,ES01003,Aramaio,,
01,Araba/Álava,ES01004,Artziniega,,
01,Araba/Álava,ES01004,Artziniega,,
01,Araba/Álava,ES01006,Armiñón,,
01,Araba/Álava,ES01006,Armiñón,,
01,Araba/Álava,ES01008,Arrazua-Ubarrundia,,
01,Araba/Álava,ES01008,Arrazua-Ubarrundia,,
01,Araba/Álava,ES01009,Asparrena,,
01,Araba/Álava,ES01009,Asparrena,,
01,Araba/Álava,ES01010,Ayala/Aiara,,
01,Araba/Álava,ES01010,Ayala/Aiara,,
01,Araba/Álava,ES01011,Baños de Ebro/Mañueta,,
01,Araba/Álava,ES01011,Baños de Ebro/Mañueta,,
01,Araba/Álava,ES01013,Barrundia,,
01,Araba/Álava,ES01013,Barrundia,,
01,Araba/Álava,ES01014,Berantevilla,,
01,Araba/Álava,ES01014,Berantevilla,,
01,Araba/Álava,ES01016,Bernedo,,
01,Araba/Álava,ES01016,Bernedo,,
01,Araba/Álava,ES01017,Campezo/Kanpezu,,
01,Araba/Álava,ES01017,Campezo/Kanpezu,,
01,Araba/Álava,ES01018,Zigoitia,,
01,Araba/Álava,ES01018,Zigoitia,,
01,Araba/Álava,ES01019,Kripan,,
01,Araba/Álava,ES01019,Kripan,,
01,Araba/Álava,ES01020,Kuartango,,
01,Araba/Álava,ES01020,Kuartango,,
01,Araba/Álava,ES01021,Elburgo/Burgelu,,
01,Araba/Álava,ES01021,Elburgo/Burgelu,,
01,Araba/Álava,ES01022,Elciego,,
01,Araba/Álava,ES01022,Elciego,,
01,Araba/Álava,ES01023,Elvillar/Bilar,,
01,Araba/Álava,ES01023,Elvillar/Bilar,,
01,Araba/Álava,ES01027,Iruraiz-Gauna,,
01,Araba/Álava,ES01027,Iruraiz-Gauna,,
01,Araba/Álava,ES01028,Labastida/Bastida,,
01,Araba/Álava,ES01028,Labastida/Bastida,,
01,Araba/Álava,ES01030,Lagrán,,
01,Araba/Álava,ES01030,Lagrán,,
01,Araba/Álava,ES01031,Laguardia,,
01,Araba/Álava,ES01031,Laguardia,,
01,Araba/Álava,ES01032,Lanciego/Lantziego,,
01,Araba/Álava,ES01032,Lanciego/Lantziego,,
01,Araba/Álava,ES01033,Lapuebla de Labarca,,
01,Araba/Álava,ES01033,Lapuebla de Labarca,,
01,Araba/Álava,ES01034,Leza,,
01,Araba/Álava,ES01034,Leza,,
01,Araba/Álava,ES01036,Laudio/Llodio,,
01,Araba/Álava,ES01036,Laudio/Llodio,,
01,Araba/Álava,ES01037,Arraia-Maeztu,,
01,Araba/Álava,ES01037,Arraia-Maeztu,,
01,Araba/Álava,ES01039,Moreda de Álava,,
01,Araba/Álava,ES01039,Moreda de Álava,,
01,Araba/Álava,ES01041,Navaridas,,
01,Araba/Álava,ES01041,Navaridas,,
01,Araba/Álava,ES01042,Okondo,,
01,Araba/Álava,ES01042,Okondo,,
01,Araba/Álava,ES01043,Oyón-Oion,,
01,Araba/Álava,ES01043,Oyón-Oion,,
01,Araba/Álava,ES01044,Peñacerrada-Urizaharra,,
01,Araba/Álava,ES01044,Peñacerrada-Urizaharra,,
01,Araba/Álava,ES01046,Erriberagoitia/Ribera Alta,,
01,Araba/Álava,ES01046,Erriberagoitia/Ribera Alta,,
01,Araba/Álava,ES01047,Ribera Baja/Erribera Beitia,,
01,Araba/Álava,ES01047,Ribera Baja/Erribera Beitia,,
01,Araba/Álava,ES01049,Añana,,
01,Araba/Álava,ES01049,Añana,,
01,Araba/Álava,ES01051,Salvatierra/Agurain,,
01,Araba/Álava,ES01051,Salvatierra/Agurain,,
01,Araba/Álava,ES01052,Samaniego,,
01,Araba/Álava,ES01052,Samaniego,,
01,Araba/Álava,ES01053,San Millán/Donemiliaga,,
01,Araba/Álava,ES01053,San Millán/Donemiliaga,,
01,Araba/Álava,ES01054,Urkabustaiz,,
01,Araba/Álava,ES01054,Urkabustaiz,,
01,Araba/Álava,ES01055,Valdegovía/Gaubea,,
01,Araba/Álava,ES01055,Valdegovía/Gaubea,,
01,Araba/Álava,ES01056,Harana/Valle de Arana,,
01,Araba/Álava,ES01056,Harana/Valle de Arana,,
01,Araba/Álava,ES01057,Villabuena de Álava/Eskuernaga,,
01,Araba/Álava,ES01057,Villabuena de Álava/Eskuernaga,,
01,Araba/Álava,ES01058,Legutio,,
01,Araba/Álava,ES01058,Legutio,,
01,Araba/Álava,ES01059,Vitoria-Gasteiz,,
01,Araba/Álava,ES01059,Vitoria-Gasteiz,,
01,Araba/Álava,ES01060,Yécora/Iekora,,
01,Araba/Álava,ES01060,Yécora/Iekora,,
01,Araba/Álava,ES01061,Zalduondo,,
01,Araba/Álava,ES01061,Zalduondo,,
01,Araba/Álava,ES01062,Zambrana,,
01,Araba/Álava,ES01062,Zambrana,,
01,Araba/Álava,ES01063,Zuia,,
01,Araba/Álava,ES01063,Zuia,,
01,Araba/Álava,ES01901,Iruña Oka/Iruña de Oca,,
01,Araba/Álava,ES01901,Iruña Oka/Iruña de Oca,,
01,Araba/Álava,ES01902,Lantarón,,
01,Araba/Álava,ES01902,Lantarón,,
02,Albacete,ES02001,Abengibre,,
02,Albacete,ES02001,Abengibre,,
02,Albacete,ES02002,Alatoz,,
02,Albacete,ES02002,Alatoz,,
02,Albacete,ES02003,Albacete,,
02,Albacete,ES02003,Albacete,,
02,Albacete,ES02004,Albatana,,
02,Albacete,ES02004,Albatana,,
02,Albacete,ES02005,Alborea,,
02,Albacete,ES02005,Alborea,,
02,Albacete,ES02006,Alcadozo,,
02,Albacete,ES02006,Alcadozo,,
02,Albacete,ES02007,Alcalá del Júcar,,
02,Albacete,ES02007,Alcalá del Júcar,,
02,Albacete,ES02008,Alcaraz,,
02,Albacete,ES02008,Alcaraz,,
02,Albacete,ES02009,Almansa,,
02,Albacete,ES02009,Almansa,,
02,Albacete,ES02010,Alpera,,
02,Albacete,ES02010,Alpera,,
02,Albacete,ES02011,Ayna,,
02,Albacete,ES02011,Ayna,,
02,Albacete,ES02012,Balazote,,
02,Albacete,ES02012,Balazote,,
02,Albacete,ES02013,Balsa de Ves,,
02,Albacete,ES02013,Balsa de Ves,,
02,Albacete,ES02014,El Ballestero,,
02,Albacete,ES02014,El Ballestero,,
02,Albacete,ES02015,Barrax,,
02,Albacete,ES02015,Barrax,,
02,Albacete,ES02016,Bienservida,,
02,Albacete,ES02016,Bienservida,,
02,Albacete,ES02017,Bogarra,,
02,Albacete,ES02017,Bogarra,,
02,Albacete,ES02018,Bonete,,
02,Albacete,ES02018,Bonete,,
02,Albacete,ES02019,El Bonillo,,
02,Albacete,ES02019,El Bonillo,,
02,Albacete,ES02020,Carcelén,,
02,Albacete,ES02020,Carcelén,,
02,Albacete,ES02021,Casas de Juan Núñez,,
02,Albacete,ES02021,Casas de Juan Núñez,,
02,Albacete,ES02022,Casas de Lázaro,,
02,Albacete,ES02022,Casas de Lázaro,,
02,Albacete,ES02023,Casas de Ves,,
02,Albacete,ES02023,Casas de Ves,,
02,Albacete,ES02024,Casas-Ibáñez,,
02,Albacete,ES02024,Casas-Ibáñez,,
02,Albacete,ES02025,Caudete,,
02,Albacete,ES02025,Caudete,,
02,Albacete,ES02026,Cenizate,,
02,Albacete,ES02026,Cenizate,,
02,Albacete,ES02027,Corral-Rubio,,
02,Albacete,ES02027,Corral-Rubio,,
02,Albacete,ES02028,Cotillas,,
02,Albacete,ES02028,Cotillas,,
02,Albacete,ES02029,Chinchilla de Monte-Aragón,,
02,Albacete,ES02029,Chinchilla de Monte-Aragón,,
02,Albacete,ES02030,Elche de la Sierra,,
02,Albacete,ES02030,Elche de la Sierra,,
02,Albacete,ES02031,Férez,,
02,Albacete,ES02031,Férez,,
02,Albacete,ES02032,Fuensanta,,
02,Albacete,ES02032,Fuensanta,,
02,Albacete,ES02033,Fuente-Álamo,,
02,Albacete,ES02033,Fuente-Álamo,,
02,Albacete,ES02034,Fuentealbilla,,
02,Albacete,ES02034,Fuentealbilla,,
02,Albacete,ES02035,La Gineta,,
02,Albacete,ES02035,La Gineta,,
02,Albacete,ES02036,Golosalvo,,
02,Albacete,ES02036,Golosalvo,,
02,Albacete,ES02037,Hellín,,
02,Albacete,ES02037,Hellín,,
02,Albacete,ES02038,La Herrera,,
02,Albacete,ES02038,La Herrera,,
02,Albacete,ES02039,Higueruela,,
02,Albacete,ES02039,Higueruela,,
02,Albacete,ES02040,Hoya-Gonzalo,,
02,Albacete,ES02040,Hoya-Gonzalo,,
02,Albacete,ES02041,Jorquera,,
02,Albacete,ES02041,Jorquera,,
02,Albacete,ES02042,Letur,,
02,Albacete,ES02042,Letur,,
02,Albacete,ES02043,Lezuza,,
02,Albacete,ES02043,Lezuza,,
02,Albacete,ES02044,Liétor,,
02,Albacete,ES02044,Liétor,,
02,Albacete,ES02045,Madrigueras,,
02,Albacete,ES02045,Madrigueras,,
02,Albacete,ES02046,Mahora,,
02,Albacete,ES02046,Mahora,,
02,Albacete,ES02047,Masegoso,,
02,Albacete,ES02047,Masegoso,,
02,Albacete,ES02048,Minaya,,
02,Albacete,ES02048,Minaya,,
02,Albacete,ES02049,Molinicos,,
02,Albacete,ES02049,Molinicos,,
02,Albacete,ES02050,Montalvos,,
02,Albacete,ES02050,Montalvos,,
02,Albacete,ES02051,Montealegre del Castillo,,
02,Albacete,ES02051,Montealegre del Castillo,,
02,Albacete,ES02052,Motilleja,,
02,Albacete,ES02052,Motilleja,,
02,Albacete,ES02053,Munera,,
02,Albacete,ES02053,Munera,,
02,Albacete,ES02054,Navas de Jorquera,,
02,Albacete,ES02054,Navas de Jorquera,,
02,Albacete,ES02055,Nerpio,,
02,Albacete,ES02055,Nerpio,,
02,Albacete,ES02056,Ontur,,
02,Albacete,ES02056,Ontur,,
02,Albacete,ES02057,Ossa de Montiel,,
02,Albacete,ES02057,Ossa de Montiel,,
02,Albacete,ES02058,Paterna del Madera,,
02,Albacete,ES02058,Paterna del Madera,,
02,Albacete,ES02059,Peñascosa,,
02,Albacete,ES02059,Peñascosa,,
02,Albacete,ES02060,Peñas de San Pedro,,
02,Albacete,ES02060,Peñas de San Pedro,,
02,Albacete,ES02061,Pétrola,,
02,Albacete,ES02061,Pétrola,,
02,Albacete,ES02062,Povedilla,,
02,Albacete,ES02062,Povedilla,,
02,Albacete,ES02063,Pozohondo,,
02,Albacete,ES02063,Pozohondo,,
02,Albacete,ES02064,Pozo-Lorente,,
02,Albacete,ES02064,Pozo-Lorente,,
02,Albacete,ES02065,Pozuelo,,
02,Albacete,ES02065,Pozuelo,,
02,Albacete,ES02066,La Recueja,,
02,Albacete,ES02066,La Recueja,,
02,Albacete,ES02067,Riópar,,
02,Albacete,ES02067,Riópar,,
02,Albacete,ES02068,Robledo,,
02,Albacete,ES02068,Robledo,,
02,Albacete,ES02069,La Roda,,
02,Albacete,ES02069,La Roda,,
02,Albacete,ES02070,Salobre,,
02,Albacete,ES02070,Salobre,,
02,Albacete,ES02071,San Pedro,,
02,Albacete,ES02071,San Pedro,,
02,Albacete,ES02072,Socovos,,
02,Albacete,ES02072,Socovos,,
02,Albacete,ES02073,Tarazona de la Mancha,,
02,Albacete,ES02073,Tarazona de la Mancha,,
02,Albacete,ES02074,Tobarra,,
02,Albacete,ES02074,Tobarra,,
02,Albacete,ES02075,Valdeganga,,
02,Albacete,ES02075,Valdeganga,,
02,Albacete,ES02076,Vianos,,
