parent_code,kind,code,name
,country,CT_ESP,España
CT_ESP,autonomous_community,AC00001,Andalucía
CT_ESP,autonomous_community,AC00002,Aragón
CT_ESP,autonomous_community,AC00003,Asturias
CT_ESP,autonomous_community,AC00004,Baleares
CT_ESP,autonomous_community,AC00005,Canarias
CT_ESP,autonomous_community,AC00006,Cantabria
CT_ESP,autonomous_community,AC00007,Castilla y León
CT_ESP,autonomous_community,AC00008,Castilla-La Mancha
CT_ESP,autonomous_community,AC00009,Cataluña
CT_ESP,autonomous_community,AC00010,Comunidad Valenciana
CT_ESP,autonomous_community,AC00011,Extremadura
CT_ESP,autonomous_community,AC00012,Galicia
CT_ESP,autonomous_community,AC00013,Comunidad de Madrid
CT_ESP,autonomous_community,AC00014,Comunidad de Murcia
CT_ESP,autonomous_community,AC00015,Navarra
CT_ESP,autonomous_community,AC00016,País Vasco
CT_ESP,autonomous_community,AC00017,La Rioja
CT_ESP,autonomous_community,AC00018,Ciudad autónoma de Ceuta
CT_ESP,autonomous_community,AC00019,Ciudad autónoma de Melilla
AC00005,island,IS_HIE,El Hierro
AC00005,island,IS_PAL,La Palma
AC00005,island,IS_GOM,La Gomera
AC00005,island,IS_TEN,Tenerife
AC00005,island,IS_GRC,Gran Canaria
AC00005,island,IS_FUE,Fuerteventura
AC00005,island,IS_LAN,Lanzarote
AC00009,region,RE_ARAN,Val de l'Aran
AC00009,region,RE_CATA,Resto de Cataluña
AC00016,municipality,ES01001,Alegría-Dulantzi
AC00016,municipality,ES01002,Amurrio
AC00016,municipality,ES01003,Aramaio
AC00016,municipality,ES01004,Artziniega
AC00016,municipality,ES01006,Armiñón
AC00016,municipality,ES01008,Arrazua-Ubarrundia
AC00016,municipality,ES01009,Asparrena
AC00016,municipality,ES01010,Ayala/Aiara
AC00016,municipality,ES01011,Baños de Ebro/Mañueta
AC00016,municipality,ES01013,Barrundia
AC00016,municipality,ES01014,Berantevilla
AC00016,municipality,ES01016,Bernedo
AC00016,municipality,ES01017,Campezo/Kanpezu
AC00016,municipality,ES01018,Zigoitia
AC00016,municipality,ES01019,Kripan
AC00016,municipality,ES01020,Kuartango
AC00016,municipality,ES01021,Elburgo/Burgelu
AC00016,municipality,ES01022,Elciego
AC00016,municipality,ES01023,Elvillar/Bilar
AC00016,municipality,ES01027,Iruraiz-Gauna
AC00016,municipality,ES01028,Labastida/Bastida
AC00016,municipality,ES01030,Lagrán
AC00016,municipality,ES01031,Laguardia
AC00016,municipality,ES01032,Lanciego/Lantziego
AC00016,municipality,ES01033,Lapuebla de Labarca
AC00016,municipality,ES01034,Leza
AC00016,municipality,ES01036,Laudio/Llodio
AC00016,municipality,ES01037,Arraia-Maeztu
AC00016,municipality,ES01039,Moreda de Álava
AC00016,municipality,ES01041,Navaridas
AC00016,municipality,ES01042,Okondo
AC00016,municipality,ES01043,Oyón-Oion
AC00016,municipality,ES01044,Peñacerrada-Urizaharra
AC00016,municipality,ES01046,Erriberagoitia/Ribera Alta
AC00016,municipality,ES01047,Ribera Baja/Erribera Beitia
AC00016,municipality,ES01049,Añana
AC00016,municipality,ES01051,Salvatierra/Agurain
AC00016,municipality,ES01052,Samaniego
AC00016,municipality,ES01053,San Millán/Donemiliaga
AC00016,municipality,ES01054,Urkabustaiz
AC00016,municipality,ES01055,Valdegovía/Gaubea
AC00016,municipality,ES01056,Harana/Valle de Arana
AC00016,municipality,ES01057,Villabuena de Álava/Eskuernaga
AC00016,municipality,ES01058,Legutio
AC00016,municipality,ES01059,Vitoria-Gasteiz
AC00016,municipality,ES01060,Yécora/Iekora
AC00016,municipality,ES01061,Zalduondo
AC00016,municipality,ES01062,Zambrana
AC00016,municipality,ES01063,Zuia
AC00016,municipality,ES01901,Iruña Oka/Iruña de Oca
AC00016,municipality,ES01902,Lantarón
AC00008,municipality,ES02001,Abengibre
AC00008,municipality,ES02002,Alatoz
AC00008,municipality,ES02003,Albacete
AC00008,municipality,ES02004,Albatana
AC00008,municipality,ES02005,Alborea
AC00008,municipality,ES02006,Alcadozo
AC00008,municipality,ES02007,Alcalá del Júcar
AC00008,municipality,ES02008,Alcaraz
AC00008,municipality,ES02009,Almansa
AC00008,municipality,ES02010,Alpera
AC00008,municipality,ES02011,Ayna
AC00008,municipality,ES02012,Balazote
AC00008,municipality,ES02013,Balsa de Ves
AC00008,municipality,ES02014,El Ballestero
AC00008,municipality,ES02015,Barrax
AC00008,municipality,ES02016,Bienservida
AC00008,municipality,ES02017,Bogarra
AC00008,municipality,ES02018,Bonete
AC00008,municipality,ES02019,El Bonillo
AC00008,municipality,ES02020,Carcelén
